X,Y,Z,surface,formation_id,borehole_id
460.82,795.79,-27.61,粉质粘土_bottom,3,ZK031
975.16,510.66,-18.55,粉质粘土,3,ZK074
975.16,510.66,-26.22,粉质粘土_bottom,3,ZK074
545.45,222.31,-24.75,粉质粘土,3,ZK034
545.45,222.31,-38.22,粉质粘土_bottom,3,ZK034
558.04,923.46,-25.1,粉质粘土,3,ZK091
558.04,923.46,-35.38,粉质粘土_bottom,3,ZK091
107.56,549.49,-19.28,粉质粘土,3,ZK005
107.56,549.49,-26.32,粉质粘土_bottom,3,ZK005
691.93,99.17,-16.54,粉质粘土,3,ZK077
691.93,99.17,-26.13,粉质粘土_bottom,3,ZK077
480.73,415.63,-15.81,粉质粘土,3,ZK078
480.73,415.63,-20.5,粉质粘土_bottom,3,ZK078
205.92,536.48,-18.72,粉质粘土,3,ZK013
205.92,536.48,-28.48,粉质粘土_bottom,3,ZK013
435.93,888.48,-22.45,粉质粘土,3,ZK032
435.93,888.48,-32.11,粉质粘土_bottom,3,ZK032
788.17,900.75,-25.39,粉质粘土,3,ZK056
788.17,900.75,-42.88,粉质粘土_bottom,3,ZK056
727.69,508.37,-16.32,粉质粘土,3,ZK089
727.69,508.37,-21.75,粉质粘土_bottom,3,ZK089
435.76,335.28,-20.83,粉质粘土,3,ZK027
435.76,335.28,-30.19,粉质粘土_bottom,3,ZK027
661.25,333.08,-23.61,粉质粘土,3,ZK043
661.25,333.08,-35.56,粉质粘土_bottom,3,ZK043
115.86,385.43,-21.29,粉质粘土,3,ZK070
115.86,385.43,-31.36,粉质粘土_bottom,3,ZK070
826.12,318.59,-23.66,细砂,4,ZK084
826.12,318.59,-34.98,细砂_bottom,4,ZK084
791.35,644.43,-27.85,细砂,4,ZK054
791.35,644.43,-41.75,细砂_bottom,4,ZK054
192.0,411.69,-29.09,细砂,4,ZK071
192.0,411.69,-38.96,细砂_bottom,4,ZK071
668.54,663.84,-21.55,细砂,4,ZK046
668.54,663.84,-31.48,细砂_bottom,4,ZK046
673.5,544.85,-21.02,细砂,4,ZK045
673.5,544.85,-29.93,细砂_bottom,4,ZK045
552.46,906.28,-31.83,细砂,4,ZK040
552.46,906.28,-44.31,细砂_bottom,4,ZK040
339.13,796.41,-18.26,细砂,4,ZK023
339.13,796.41,-35.53,细砂_bottom,4,ZK023
939.17,627.32,-40.75,细砂,4,ZK081
939.17,627.32,-53.03,细砂_bottom,4,ZK081
213.86,339.72,-26.92,细砂,4,ZK011
213.86,339.72,-37.79,细砂_bottom,4,ZK011
125.85,93.44,-40.65,细砂,4,ZK001
125.85,93.44,-67.15,细砂_bottom,4,ZK001
321.05,339.01,-32.12,细砂,4,ZK019
321.05,339.01,-59.21,细砂_bottom,4,ZK019
460.82,795.79,-23.41,细砂,4,ZK031
460.82,795.79,-35.97,细砂_bottom,4,ZK031
975.16,510.66,-29.01,细砂,4,ZK074
975.16,510.66,-42.52,细砂_bottom,4,ZK074
545.45,222.31,-29.14,细砂,4,ZK034
545.45,222.31,-51.2,细砂_bottom,4,ZK034
558.04,923.46,-33.79,细砂,4,ZK091
558.04,923.46,-44.47,细砂_bottom,4,ZK091
107.56,549.49,-27.19,细砂,4,ZK005
107.56,549.49,-37.91,细砂_bottom,4,ZK005
691.93,99.17,-25.07,细砂,4,ZK077
691.93,99.17,-44.48,细砂_bottom,4,ZK077
480.73,415.63,-23.26,细砂,4,ZK078
480.73,415.63,-32.49,细砂_bottom,4,ZK078
205.92,536.48,-26.88,细砂,4,ZK013
205.92,536.48,-47.51,细砂_bottom,4,ZK013
435.93,888.48,-31.14,细砂,4,ZK032
435.93,888.48,-42.3,细砂_bottom,4,ZK032
788.17,900.75,-41.25,细砂,4,ZK056
788.17,900.75,-63.39,细砂_bottom,4,ZK056
727.69,508.37,-24.73,细砂,4,ZK089
727.69,508.37,-36.73,细砂_bottom,4,ZK089
435.76,335.28,-24.56,细砂,4,ZK027
435.76,335.28,-40.96,细砂_bottom,4,ZK027
661.25,333.08,-31.64,细砂,4,ZK043
661.25,333.08,-50.83,细砂_bottom,4,ZK043
115.86,385.43,-33.03,细砂,4,ZK070
115.86,385.43,-45.23,细砂_bottom,4,ZK070
826.12,318.59,-39.0,中砂,5,ZK084
826.12,318.59,-54.93,中砂_bottom,5,ZK084
791.35,644.43,-44.57,中砂,5,ZK054
791.35,644.43,-55.23,中砂_bottom,5,ZK054
192.0,411.69,-46.21,中砂,5,ZK071
192.0,411.69,-55.25,中砂_bottom,5,ZK071
668.54,663.84,-34.49,中砂,5,ZK046
668.54,663.84,-46.43,中砂_bottom,5,ZK046
673.5,544.85,-33.63,中砂,5,ZK045
673.5,544.85,-47.13,中砂_bottom,5,ZK045
552.46,906.28,-43.16,中砂,5,ZK040
552.46,906.28,-61.21,中砂_bottom,5,ZK040
339.13,796.41,-29.22,中砂,5,ZK023
339.13,796.41,-47.5,中砂_bottom,5,ZK023
939.17,627.32,-54.39,中砂,5,ZK081
939.17,627.32,-61.93,中砂_bottom,5,ZK081
213.86,339.72,-43.08,中砂,5,ZK011
213.86,339.72,-57.08,中砂_bottom,5,ZK011
125.85,93.44,-58.78,中砂,5,ZK001
125.85,93.44,-85.24,中砂_bottom,5,ZK001
321.05,339.01,-45.1,中砂,5,ZK019
321.05,339.01,-72.06,中砂_bottom,5,ZK019
460.82,795.79,-36.01,中砂,5,ZK031
460.82,795.79,-46.63,中砂_bottom,5,ZK031
975.16,510.66,-43.46,中砂,5,ZK074
975.16,510.66,-52.21,中砂_bottom,5,ZK074
545.45,222.31,-37.47,中砂,5,ZK034
545.45,222.31,-54.05,中砂_bottom,5,ZK034
558.04,923.46,-49.12,中砂,5,ZK091
558.04,923.46,-61.36,中砂_bottom,5,ZK091
107.56,549.49,-39.38,中砂,5,ZK005
107.56,549.49,-48.5,中砂_bottom,5,ZK005
691.93,99.17,-40.1,中砂,5,ZK077
691.93,99.17,-51.57,中砂_bottom,5,ZK077
480.73,415.63,-41.15,中砂,5,ZK078
480.73,415.63,-55.15,中砂_bottom,5,ZK078
205.92,536.48,-37.94,中砂,5,ZK013
205.92,536.48,-52.35,中砂_bottom,5,ZK013
435.93,888.48,-42.56,中砂,5,ZK032
435.93,888.48,-54.17,中砂_bottom,5,ZK032
788.17,900.75,-55.02,中砂,5,ZK056
788.17,900.75,-78.59,中砂_bottom,5,ZK056
727.69,508.37,-39.56,中砂,5,ZK089
727.69,508.37,-48.7,中砂_bottom,5,ZK089
435.76,335.28,-40.37,中砂,5,ZK027
435.76,335.28,-53.51,中砂_bottom,5,ZK027
661.25,333.08,-49.46,中砂,5,ZK043
661.25,333.08,-67.45,中砂_bottom,5,ZK043
115.86,385.43,-51.61,中砂,5,ZK070
115.86,385.43,-71.73,中砂_bottom,5,ZK070
826.12,318.59,-51.18,粗砂,6,ZK084
826.12,318.59,-57.54,粗砂_bottom,6,ZK084
791.35,644.43,-59.05,粗砂,6,ZK054
791.35,644.43,-65.84,粗砂_bottom,6,ZK054
192.0,411.69,-61.76,粗砂,6,ZK071
192.0,411.69,-67.52,粗砂_bottom,6,ZK071
668.54,663.84,-45.69,粗砂,6,ZK046
668.54,663.84,-59.08,粗砂_bottom,6,ZK046
673.5,544.85,-44.56,粗砂,6,ZK045
673.5,544.85,-51.29,粗砂_bottom,6,ZK045
552.46,906.28,-59.35,粗砂,6,ZK040
552.46,906.28,-69.7,粗砂_bottom,6,ZK040
339.13,796.41,-38.71,粗砂,6,ZK023
339.13,796.41,-50.07,粗砂_bottom,6,ZK023
939.17,627.32,-72.35,粗砂,6,ZK081
939.17,627.32,-83.77,粗砂_bottom,6,ZK081
213.86,339.72,-57.08,粗砂,6,ZK011
213.86,339.72,-64.96,粗砂_bottom,6,ZK011
125.85,93.44,-68.99,粗砂,6,ZK001
125.85,93.44,-91.89,粗砂_bottom,6,ZK001
321.05,339.01,-56.35,粗砂,6,ZK019
321.05,339.01,-73.63,粗砂_bottom,6,ZK019
460.82,795.79,-46.22,粗砂,6,ZK031
460.82,795.79,-53.36,粗砂_bottom,6,ZK031
975.16,510.66,-58.47,粗砂,6,ZK074
975.16,510.66,-67.98,粗砂_bottom,6,ZK074
545.45,222.31,-47.5,粗砂,6,ZK034
545.45,222.31,-55.25,粗砂_bottom,6,ZK034
558.04,923.46,-55.84,粗砂,6,ZK091
558.04,923.46,-63.48,粗砂_bottom,6,ZK091
107.56,549.49,-48.09,粗砂,6,ZK005
107.56,549.49,-53.85,粗砂_bottom,6,ZK005
691.93,99.17,-53.14,粗砂,6,ZK077
691.93,99.17,-66.69,粗砂_bottom,6,ZK077
480.73,415.63,-52.87,粗砂,6,ZK078
480.73,415.63,-60.46,粗砂_bottom,6,ZK078
205.92,536.48,-54.4,粗砂,6,ZK013
205.92,536.48,-62.59,粗砂_bottom,6,ZK013
435.93,888.48,-53.57,粗砂,6,ZK032
435.93,888.48,-67.2,粗砂_bottom,6,ZK032
788.17,900.75,-69.31,粗砂,6,ZK056
788.17,900.75,-87.94,粗砂_bottom,6,ZK056
727.69,508.37,-52.42,粗砂,6,ZK089
727.69,508.37,-65.42,粗砂_bottom,6,ZK089
435.76,335.28,-52.17,粗砂,6,ZK027
435.76,335.28,-66.32,粗砂_bottom,6,ZK027
661.25,333.08,-65.46,粗砂,6,ZK043
661.25,333.08,-79.78,粗砂_bottom,6,ZK043
115.86,385.43,-69.95,粗砂,6,ZK070
115.86,385.43,-85.13,粗砂_bottom,6,ZK070
826.12,318.59,-61.75,砾砂,7,ZK084
826.12,318.59,-71.87,砾砂_bottom,7,ZK084
791.35,644.43,-72.58,砾砂,7,ZK054
791.35,644.43,-98.55,砾砂_bottom,7,ZK054
192.0,411.69,-74.32,砾砂,7,ZK071
192.0,411.69,-83.61,砾砂_bottom,7,ZK071
668.54,663.84,-54.75,砾砂,7,ZK046
668.54,663.84,-67.94,砾砂_bottom,7,ZK046
673.5,544.85,-53.38,砾砂,7,ZK045
673.5,544.85,-69.62,砾砂_bottom,7,ZK045
552.46,906.28,-69.71,砾砂,7,ZK040
552.46,906.28,-86.25,砾砂_bottom,7,ZK040
339.13,796.41,-46.38,砾砂,7,ZK023
339.13,796.41,-66.99,砾砂_bottom,7,ZK023
939.17,627.32,-83.66,砾砂,7,ZK081
939.17,627.32,-97.94,砾砂_bottom,7,ZK081
213.86,339.72,-68.38,砾砂,7,ZK011
213.86,339.72,-78.18,砾砂_bottom,7,ZK011
125.85,93.44,-83.32,砾砂,7,ZK001
125.85,93.44,-107.75,砾砂_bottom,7,ZK001
321.05,339.01,-65.44,砾砂,7,ZK019
321.05,339.01,-90.38,砾砂_bottom,7,ZK019
460.82,795.79,-55.94,砾砂,7,ZK031
460.82,795.79,-79.29,砾砂_bottom,7,ZK031
975.16,510.66,-70.91,砾砂,7,ZK074
975.16,510.66,-85.23,砾砂_bottom,7,ZK074
545.45,222.31,-56.36,砾砂,7,ZK034
545.45,222.31,-69.5,砾砂_bottom,7,ZK034
558.04,923.46,-64.43,砾砂,7,ZK091
558.04,923.46,-76.89,砾砂_bottom,7,ZK091
107.56,549.49,-56.17,砾砂,7,ZK005
107.56,549.49,-69.24,砾砂_bottom,7,ZK005
691.93,99.17,-63.67,砾砂,7,ZK077
691.93,99.17,-83.53,砾砂_bottom,7,ZK077
480.73,415.63,-62.2,砾砂,7,ZK078
480.73,415.63,-77.56,砾砂_bottom,7,ZK078
205.92,536.48,-63.92,砾砂,7,ZK013
205.92,536.48,-78.42,砾砂_bottom,7,ZK013
435.93,888.48,-66.19,砾砂,7,ZK032
435.93,888.48,-91.24,砾砂_bottom,7,ZK032
788.17,900.75,-80.79,砾砂,7,ZK056
788.17,900.75,-116.25,砾砂_bottom,7,ZK056
727.69,508.37,-62.81,砾砂,7,ZK089
727.69,508.37,-77.55,砾砂_bottom,7,ZK089
435.76,335.28,-60.02,砾砂,7,ZK027
435.76,335.28,-71.33,砾砂_bottom,7,ZK027
661.25,333.08,-75.78,砾砂,7,ZK043
661.25,333.08,-97.57,砾砂_bottom,7,ZK043
115.86,385.43,-84.36,砾砂,7,ZK070
115.86,385.43,-108.61,砾砂_bottom,7,ZK070
826.12,318.59,-78.43,卵石层,8,ZK084
826.12,318.59,-98.18,卵石层_bottom,8,ZK084
791.35,644.43,-90.24,卵石层,8,ZK054
791.35,644.43,-118.23,卵石层_bottom,8,ZK054
192.0,411.69,-95.26,卵石层,8,ZK071
192.0,411.69,-110.05,卵石层_bottom,8,ZK071
668.54,663.84,-69.84,卵石层,8,ZK046
668.54,663.84,-85.36,卵石层_bottom,8,ZK046
673.5,544.85,-68.1,卵石层,8,ZK045
673.5,544.85,-92.36,卵石层_bottom,8,ZK045
552.46,906.28,-89.29,卵石层,8,ZK040
552.46,906.28,-112.6,卵石层_bottom,8,ZK040
339.13,796.41,-59.16,卵石层,8,ZK023
339.13,796.41,-90.28,卵石层_bottom,8,ZK023
939.17,627.32,-103.21,卵石层,8,ZK081
939.17,627.32,-126.39,卵石层_bottom,8,ZK081
213.86,339.72,-87.23,卵石层,8,ZK011
213.86,339.72,-102.2,卵石层_bottom,8,ZK011
125.85,93.44,-95.1,卵石层,8,ZK001
125.85,93.44,-121.05,卵石层_bottom,8,ZK001
321.05,339.01,-80.59,卵石层,8,ZK019
321.05,339.01,-116.03,卵石层_bottom,8,ZK019
460.82,795.79,-72.35,卵石层,8,ZK031
460.82,795.79,-99.48,卵石层_bottom,8,ZK031
975.16,510.66,-85.97,卵石层,8,ZK074
975.16,510.66,-102.16,卵石层_bottom,8,ZK074
545.45,222.31,-72.74,卵石层,8,ZK034
545.45,222.31,-97.13,卵石层_bottom,8,ZK034
558.04,923.46,-82.06,卵石层,8,ZK091
558.04,923.46,-113.1,卵石层_bottom,8,ZK091
107.56,549.49,-68.72,卵石层,8,ZK005
107.56,549.49,-94.24,卵石层_bottom,8,ZK005
691.93,99.17,-81.21,卵石层,8,ZK077
691.93,99.17,-107.66,卵石层_bottom,8,ZK077
480.73,415.63,-75.35,卵石层,8,ZK078
480.73,415.63,-95.56,卵石层_bottom,8,ZK078
205.92,536.48,-79.19,卵石层,8,ZK013
205.92,536.48,-105.51,卵石层_bottom,8,ZK013
435.93,888.48,-80.31,卵石层,8,ZK032
435.93,888.48,-98.55,卵石层_bottom,8,ZK032
788.17,900.75,-97.76,卵石层,8,ZK056
788.17,900.75,-137.88,卵石层_bottom,8,ZK056
727.69,508.37,-80.12,卵石层,8,ZK089
727.69,508.37,-98.28,卵石层_bottom,8,ZK089
435.76,335.28,-74.56,卵石层,8,ZK027
435.76,335.28,-97.02,卵石层_bottom,8,ZK027
661.25,333.08,-96.75,卵石层,8,ZK043
661.25,333.08,-120.23,卵石层_bottom,8,ZK043
115.86,385.43,-106.51,卵石层,8,ZK070
115.86,385.43,-138.23,卵石层_bottom,8,ZK070
826.12,318.59,-100.24,强风化岩,9,ZK084
826.12,318.59,-132.0,强风化岩_bottom,9,ZK084
791.35,644.43,-115.31,强风化岩,9,ZK054
791.35,644.43,-140.61,强风化岩_bottom,9,ZK054
192.0,411.69,-122.18,强风化岩,9,ZK071
192.0,411.69,-141.69,强风化岩_bottom,9,ZK071
668.54,663.84,-89.23,强风化岩,9,ZK046
668.54,663.84,-115.79,强风化岩_bottom,9,ZK046
673.5,544.85,-87.01,强风化岩,9,ZK045
673.5,544.85,-106.61,强风化岩_bottom,9,ZK045
552.46,906.28,-109.49,强风化岩,9,ZK040
552.46,906.28,-131.05,强风化岩_bottom,9,ZK040
339.13,796.41,-77.84,强风化岩,9,ZK023
339.13,796.41,-117.43,强风化岩_bottom,9,ZK023
939.17,627.32,-135.05,强风化岩,9,ZK081
939.17,627.32,-158.46,强风化岩_bottom,9,ZK081
213.86,339.72,-111.46,强风化岩,9,ZK011
213.86,339.72,-145.99,强风化岩_bottom,9,ZK011
125.85,93.44,-123.18,强风化岩,9,ZK001
125.85,93.44,-168.27,强风化岩_bottom,9,ZK001
321.05,339.01,-100.07,强风化岩,9,ZK019
321.05,339.01,-142.03,强风化岩_bottom,9,ZK019
460.82,795.79,-91.62,强风化岩,9,ZK031
460.82,795.79,-127.76,强风化岩_bottom,9,ZK031
975.16,510.66,-110.02,强风化岩,9,ZK074
975.16,510.66,-143.82,强风化岩_bottom,9,ZK074
545.45,222.31,-91.88,强风化岩,9,ZK034
545.45,222.31,-129.11,强风化岩_bottom,9,ZK034
558.04,923.46,-105.64,强风化岩,9,ZK091
558.04,923.46,-132.77,强风化岩_bottom,9,ZK091
107.56,549.49,-87.83,强风化岩,9,ZK005
107.56,549.49,-114.64,强风化岩_bottom,9,ZK005
691.93,99.17,-103.77,强风化岩,9,ZK077
691.93,99.17,-127.58,强风化岩_bottom,9,ZK077
480.73,415.63,-96.28,强风化岩,9,ZK078
480.73,415.63,-121.82,强风化岩_bottom,9,ZK078
205.92,536.48,-98.69,强风化岩,9,ZK013
205.92,536.48,-140.64,强风化岩_bottom,9,ZK013
435.93,888.48,-105.12,强风化岩,9,ZK032
435.93,888.48,-127.26,强风化岩_bottom,9,ZK032
788.17,900.75,-116.8,强风化岩,9,ZK056
788.17,900.75,-157.37,强风化岩_bottom,9,ZK056
727.69,508.37,-102.37,强风化岩,9,ZK089
727.69,508.37,-135.72,强风化岩_bottom,9,ZK089
435.76,335.28,-94.97,强风化岩,9,ZK027
435.76,335.28,-130.87,强风化岩_bottom,9,ZK027
661.25,333.08,-121.27,强风化岩,9,ZK043
661.25,333.08,-155.28,强风化岩_bottom,9,ZK043
115.86,385.43,-135.67,强风化岩,9,ZK070
115.86,385.43,-160.47,强风化岩_bottom,9,ZK070
826.12,318.59,-125.06,中风化岩,10,ZK084
826.12,318.59,-159.61,中风化岩_bottom,10,ZK084
791.35,644.43,-148.74,中风化岩,10,ZK054
791.35,644.43,-201.12,中风化岩_bottom,10,ZK054
192.0,411.69,-158.07,中风化岩,10,ZK071
192.0,411.69,-195.03,中风化岩_bottom,10,ZK071
668.54,663.84,-115.1,中风化岩,10,ZK046
668.54,663.84,-158.91,中风化岩_bottom,10,ZK046
673.5,544.85,-112.23,中风化岩,10,ZK045
673.5,544.85,-153.78,中风化岩_bottom,10,ZK045
552.46,906.28,-139.49,中风化岩,10,ZK040
552.46,906.28,-187.7,中风化岩_bottom,10,ZK040
339.13,796.41,-97.51,中风化岩,10,ZK023
339.13,796.41,-139.49,中风化岩_bottom,10,ZK023
939.17,627.32,-167.94,中风化岩,10,ZK081
939.17,627.32,-190.71,中风化岩_bottom,10,ZK081
213.86,339.72,-143.76,中风化岩,10,ZK011
213.86,339.72,-177.23,中风化岩_bottom,10,ZK011
125.85,93.44,-152.52,中风化岩,10,ZK001
125.85,93.44,-204.05,中风化岩_bottom,10,ZK001
321.05,339.01,-126.04,中风化岩,10,ZK019
321.05,339.01,-184.65,中风化岩_bottom,10,ZK019
460.82,795.79,-116.8,中风化岩,10,ZK031
460.82,795.79,-153.52,中风化岩_bottom,10,ZK031
975.16,510.66,-139.87,中风化岩,10,ZK074
975.16,510.66,-176.44,中风化岩_bottom,10,ZK074
545.45,222.31,-116.82,中风化岩,10,ZK034
545.45,222.31,-149.83,中风化岩_bottom,10,ZK034
558.04,923.46,-130.65,中风化岩,10,ZK091
558.04,923.46,-181.45,中风化岩_bottom,10,ZK091
107.56,549.49,-119.37,中风化岩,10,ZK005
107.56,549.49,-153.45,中风化岩_bottom,10,ZK005
691.93,99.17,-133.85,中风化岩,10,ZK077
691.93,99.17,-165.71,中风化岩_bottom,10,ZK077
480.73,415.63,-126.7,中风化岩,10,ZK078
480.73,415.63,-154.58,中风化岩_bottom,10,ZK078
205.92,536.48,-124.74,中风化岩,10,ZK013
205.92,536.48,-158.66,中风化岩_bottom,10,ZK013
435.93,888.48,-133.52,中风化岩,10,ZK032
435.93,888.48,-182.46,中风化岩_bottom,10,ZK032
788.17,900.75,-149.02,中风化岩,10,ZK056
788.17,900.75,-199.4,中风化岩_bottom,10,ZK056
727.69,508.37,-132.05,中风化岩,10,ZK089
727.69,508.37,-158.73,中风化岩_bottom,10,ZK089
435.76,335.28,-120.47,中风化岩,10,ZK027
435.76,335.28,-156.39,中风化岩_bottom,10,ZK027
661.25,333.08,-158.08,中风化岩,10,ZK043
661.25,333.08,-202.77,中风化岩_bottom,10,ZK043
115.86,385.43,-172.51,中风化岩,10,ZK070
115.86,385.43,-209.55,中风化岩_bottom,10,ZK070
727.69,508.37,-169.14,微风化岩,11,ZK089
727.69,508.37,-211.25,微风化岩_bottom,11,ZK089
98.62,228.79,-127.37,微风化岩,11,ZK002
98.62,228.79,-161.45,微风化岩_bottom,11,ZK002
955.92,471.0,-159.13,微风化岩,11,ZK073
955.92,471.0,-210.13,微风化岩_bottom,11,ZK073
456.13,448.81,-151.65,微风化岩,11,ZK028
456.13,448.81,-200.66,微风化岩_bottom,11,ZK028
209.97,907.76,-167.99,微风化岩,11,ZK016
209.97,907.76,-222.29,微风化岩_bottom,11,ZK016
396.01,583.41,-225.3,微风化岩,11,ZK085
396.01,583.41,-264.29,微风化岩_bottom,11,ZK085
245.52,668.97,-173.03,微风化岩,11,ZK014
245.52,668.97,-208.72,微风化岩_bottom,11,ZK014
327.29,891.38,-165.29,微风化岩,11,ZK024
327.29,891.38,-220.45,微风化岩_bottom,11,ZK024
96.67,889.56,-181.48,微风化岩,11,ZK008
96.67,889.56,-241.67,微风化岩_bottom,11,ZK008
